MCNo,Event Number,Rating (0-3),E1 (GeV),px1 (GeV/c),py1 (GeV/c),pz1 (GeV/c),E2 (GeV),px2 (GeV/c),py2 (GeV/c),pz2 (GeV/c)
1,1007912007,0,13.7061,4.88649,-2.5086,12.5569,3.67389,-0.68325,0.529614,3.56917
2,1007957044,1,9.09052,-2.16135,-2.96392,-8.31686,3.80945,0.787428,-0.775826,-3.644
3,1008000431,3,6.81754,5.76035,3.23987,-1.67015,19.1486,12.8875,12.3887,-6.86217
4,1008032300,0,31.8853,-5.85709,2.78331,-31.2188,4.26886,-1.50179,-0.486974,-3.96478
5,1008075983,0,13.5527,1.18694,-2.35966,-13.2924,4.36207,1.19082,0.142888,-4.19262
6,1008203315,2,7.98636,1.41051,1.49141,7.71732,5.83304,-0.760092,1.22497,5.6511
7,1008209356,2,8.4759,0.778887,1.81616,8.24164,4.36099,1.60931,0.0626995,4.05133
8,1008225333,1,10.3318,1.00769,2.58479,9.95179,6.43402,1.43627,0.0349896,6.27068
9,1008234146,2,7.6356,-1.32042,1.37354,7.39331,3.63523,-1.23253,-0.805567,3.322
10,1008257850,2,9.08621,-1.92841,0.835437,8.83919,3.68113,0.273585,1.7503,3.22508
11,1008262278,2,7.55158,1.41924,0.266467,7.41148,4.81347,-1.54717,-0.674974,4.50655
12,1008289349,2,12.9147,-4.65907,-0.545633,-12.0321,3.70193,-0.418434,1.00964,-3.53535
13,1008315074,2,10.7599,-2.99026,-0.314427,10.3307,8.58578,-1.79347,-1.97114,8.16104
14,1008359945,2,10.1877,-0.931621,-3.02517,9.68287,4.58675,-1.62879,-0.140587,4.2842
15,1008421464,0,8.15766,0.58943,-2.16005,7.84366,4.43274,1.91828,-1.699,3.61547
16,1008461960,2,5.54986,0.702483,2.7066,4.79277,5.68172,-0.891812,1.5977,5.378
17,1008477500,2,10.5807,1.23298,3.47886,9.91551,3.03217,-0.466316,-1.08312,2.79147
18,1008524496,0,17.6481,-4.51342,-1.31655,-17.01,3.36175,0.842363,0.309338,-3.23805
19,1008524805,0,9.1962,-3.56662,0.827198,8.43528,5.97017,-0.193144,-1.42278,5.79398
20,1008602059,2,5.71933,2.33776,0.918908,-5.13713,3.73981,-0.52136,0.64587,-3.645
21,1008641940,2,12.637,0.605848,4.4148,-11.8247,4.23532,-1.10013,-0.212878,-4.08303
22,1008666475,2,21.0644,-3.05143,-2.86835,-20.6436,8.53169,-0.419293,-2.18543,-8.23569
23,1008667143,2,8.9901,2.28989,-0.67301,8.66685,26.0104,2.75204,-3.61233,25.6107
24,1008699102,1,6.13549,0.376432,-2.32089,-5.66611,2.96216,0.753553,0.211548,-2.85494
25,1008798698,2,12.167,-1.71011,1.72926,11.921,8.37831,0.863779,1.88295,8.11746
26,1008810333,2,7.51087,-1.86996,0.595577,7.24917,3.41102,0.226233,1.58616,3.00945
27,1008846067,0,10.436,-4.21428,4.7229,-8.29652,4.80522,-0.029752,1.09617,-4.67723
28,1008909421,0,14.8912,2.91855,1.79437,-14.4913,4.31454,-0.870107,0.384354,-4.20705
29,1008934755,1,6.86509,-0.636578,1.637,6.63576,3.93432,0.97159,-0.487849,3.77965
30,1008973968,2,7.6345,1.43762,1.1975,-7.40093,4.79171,-0.614285,-1.07986,-4.62665
31,1009011455,0,15.5747,0.488471,3.33486,15.2053,3.7321,1.30564,0.844617,3.39106
32,1009013462,0,6.84154,-2.76227,-0.580482,6.23124,3.76502,0.994225,0.0576768,3.62938
33,1009038302,0,8.62919,-2.43313,-0.120776,8.2775,24.0843,-4.40663,4.08089,23.3232
34,1009053657,0,8.65494,-3.39923,3.73343,7.02877,4.28098,0.374814,3.3834,2.5938
35,1009093690,2,19.5963,0.170915,6.80964,-18.374,8.78495,-0.960987,1.41048,-8.61691
36,1009108494,1,7.32806,-1.72655,-0.311899,7.11414,2.88376,0.736856,-0.140554,2.78248
37,1009134136,0,5.85106,3.16599,3.12111,-3.80249,3.56885,1.27833,0.0537573,-3.32994
38,1009191393,2,14.7548,0.697965,-3.04225,-14.4205,4.80521,-1.16125,-1.45748,-4.42789
39,1009265134,1,10.1548,2.50527,2.54439,9.5057,3.03344,0.9827,-1.09419,2.65098
40,1009293325,2,11.9074,1.4376,-3.35437,11.3339,5.73288,-1.11766,-1.10645,5.51193
41,1009293478,0,9.56799,1.78232,-1.02375,-9.34401,12.5553,4.55446,0.60299,-11.6841
42,1009296720,2,13.8192,-0.618934,-2.5423,13.5688,6.73409,1.38923,-0.861814,6.53178
43,1009421096,2,8.8998,0.485249,-2.04526,-8.64735,8.47743,1.99017,-0.593538,-8.21842
44,1009457859,2,9.07564,-1.58901,-1.81542,8.74845,4.11456,0.645172,-1.06641,3.91981
45,1009517882,2,8.63572,-2.0571,0.641436,8.3619,3.29202,0.109828,1.11727,3.09288
46,1009521302,2,7.21739,-1.97279,-4.30451,5.44599,3.50756,-0.419898,0.682926,3.41308
47,1009525759,0,8.98268,0.0271642,-1.60153,-8.83808,7.95036,-2.17637,1.10106,-7.56625
48,1009540715,1,12.1011,-1.69245,-2.04066,11.8066,9.05675,0.17917,-2.4869,8.70614
49,1009564407,2,19.982,4.10251,-3.56126,-19.229,7.74516,1.57259,0.211529,-7.58015
50,1009566108,3,20.218,5.12387,-2.23997,-19.4289,11.8753,1.62126,-3.23683,-11.3096
51,1009579530,2,7.99821,2.02589,-1.19389,-7.64399,8.9597,1.20628,1.43568,-8.76064
52,1009596485,1,6.47801,0.853014,1.51256,6.24003,4.13986,-1.06017,0.240703,3.99317
53,1009642524,2,11.2726,1.98822,-2.75625,-10.7476,3.03857,-1.05432,-0.607149,-2.78236
54,1009662458,2,6.87084,-2.75929,-0.417748,6.27767,4.2739,0.204532,0.961144,4.15805
55,1009672972,2,9.21305,1.49639,-1.26717,9.00135,6.56479,-1.07519,-2.14574,6.10942
56,1009695850,2,4.61765,4.01018,-1.90406,1.26669,2.76284,1.23393,0.0136464,2.46969
57,1009695900,2,15.0025,1.79211,-3.06973,14.5749,4.33253,-1.88629,-0.503763,3.86624
58,1009707351,2,7.98148,-5.76093,-1.08577,-5.4153,4.70144,-1.48705,0.139721,-4.45663
59,1009725257,2,17.5468,2.5217,-3.50961,-17.006,5.63258,-0.357575,-1.96854,-5.2642
60,1009743341,2,10.914,0.369054,2.00456,10.7215,8.0749,-1.97762,2.19685,7.5137
61,1009758877,0,8.81666,-1.8163,0.332496,-8.62048,4.59472,0.62615,1.02961,-4.43262
62,1009792055,2,14.2307,2.69617,1.09145,-13.9299,3.7038,0.0208308,1.27427,-3.47603
63,1009833337,2,11.0009,2.39113,-0.836235,-10.7047,3.68082,0.832951,1.41712,-3.29169
64,1009859005,2,9.71771,0.730215,-3.2488,-9.12879,7.93606,-1.99639,-1.61916,-7.5075
65,1009887102,1,3.52022,-2.76751,2.14903,-0.321532,5.95611,-3.05259,-0.609592,-5.07683
66,1009915943,1,19.7661,-3.7033,-3.07156,19.1713,4.03401,0.828887,-0.242872,3.93904
67,1010049591,2,8.15677,2.15886,-2.50982,7.45399,5.58233,-1.14262,-0.0561559,5.46283
68,1010049908,2,9.33399,1.24667,-3.08644,8.71963,5.6134,1.07846,-0.000981045,5.50782
69,1010076008,1,5.16951,-1.51179,-0.592919,-4.9067,5.7718,-0.321834,2.37771,-5.24838
70,1010095665,2,8.46317,-0.843697,-2.07303,-8.16118,4.38303,-0.905206,1.37155,-4.06192
71,1010096637,2,13.4819,-3.63126,0.132892,12.9826,3.38545,-0.253062,0.865603,3.26141
72,1010115581,0,22.5339,1.95474,6.20658,21.5737,3.61814,-0.691825,1.16538,3.35306
73,1010174640,0,10.8423,-2.41157,-0.619664,-10.552,8.12392,1.26712,-1.91243,-7.79255
74,1010206464,2,8.34725,3.19781,-0.60712,-7.68575,3.52656,0.32887,0.644801,-3.44986
75,1010232564,0,10.675,0.95028,-2.15178,10.4121,5.40982,-0.107763,1.04002,5.30677
76,1010232897,3,17.4219,2.05213,-2.95986,-17.0452,12.1904,4.4612,-1.94751,-11.1759
77,1010246886,0,24.4263,-0.487982,6.76366,-23.4659,3.65106,0.997649,1.12245,-3.32625
78,1010258862,2,11.1555,-1.99191,1.76723,10.8325,6.18159,0.311649,1.84307,5.89125
79,1010265569,1,6.37325,1.07675,-1.13741,-6.1769,4.88895,-0.885202,-0.223338,-4.80179
80,1010294280,0,6.42208,3.21049,-1.2366,-5.42176,3.82378,0.274232,0.851023,-3.71627
81,1010361008,2,7.94533,1.44285,0.116322,-7.81164,7.11639,1.2765,-1.79882,-6.7651
82,1010374956,2,19.0785,2.06739,-3.1128,-18.7086,3.66154,-0.872177,-1.15741,-3.36087
83,1010385367,2,7.46165,-2.42104,1.80267,-6.82305,22.1191,-6.74128,-1.0653,-21.0396
84,1010388490,2,10.0391,0.855951,-1.54461,9.88202,6.82465,0.0721609,1.63029,6.62583
85,1010401298,0,8.73269,-0.344377,2.1047,-8.46761,4.23558,-0.128747,-1.1904,-4.06144
86,1010413718,0,7.79204,3.16369,-2.00941,-6.83067,4.41379,1.61399,1.14888,-3.94277
87,1010426042,1,6.55435,1.2357,-0.906229,6.37182,6.62917,-1.55974,-0.150591,6.44044
88,1010468293,0,7.6065,2.22841,-0.41836,-7.25995,4.8894,-1.17413,0.385715,-4.72946
89,1010484180,0,11.3609,-2.73804,0.203215,11.0237,3.32065,-0.104769,-1.44647,2.98535
90,1010510188,0,9.42903,0.30072,2.81944,8.99198,11.7955,1.01853,-1.71413,11.6253
91,1010529510,2,6.79245,-4.15185,-2.05111,4.96803,4.1406,-1.35215,-3.22402,2.21604
92,1021209675,2,7.88917,0.992364,-1.99366,-7.56759,4.28598,-0.9379,-0.932531,-4.07543
93,1021230855,2,15.0257,3.84483,0.473785,14.5174,4.41112,-0.840034,0.428691,4.30783
94,1021238147,0,7.28716,5.0492,0.0187692,5.25325,2.88693,-0.719098,0.387539,2.76693
95,1021293380,2,7.54059,0.374918,1.59708,-7.35922,4.41407,0.513115,-0.768622,-4.31494
96,1021296330,2,10.3172,-1.87444,1.53047,10.0288,5.94716,2.31905,0.572866,5.4453
97,1021297800,1,22.7897,-5.35014,-1.09242,22.1256,3.55573,-0.139186,-1.13327,3.36577
98,1021306513,2,14.8962,-3.80975,1.45572,-14.3266,6.18193,-1.2241,-1.54243,-5.85897
99,1021364053,0,8.20772,-2.29322,0.319583,7.87366,8.00355,0.835485,-1.35937,7.84217
100,1021415608,0,9.55036,-3.08049,-1.63523,-8.89015,13.5221,-4.07745,0.734569,-12.8714
101,1021439579,0,6.33676,1.27883,2.99723,-5.43365,7.2186,1.53821,-0.264219,-7.04706
102,1021484561,2,6.44512,-1.90387,2.25022,-5.73063,3.49052,-0.374665,-0.765652,-3.38319
103,1021495349,1,5.5978,-2.00032,1.35016,-5.04975,4.45037,0.0806523,-1.70888,-4.10705
104,1021528188,0,7.6446,2.80936,-1.76544,6.88617,7.31846,0.569011,-1.27952,7.18246
105,1021563668,0,7.51866,-0.557271,2.6978,-6.99502,3.51606,0.802782,-0.155682,-3.41801
106,1021574840,2,5.20315,-3.54092,0.301384,3.79904,4.7463,-2.02838,2.95804,3.10676
107,1021616024,0,8.21745,0.465289,-1.92956,7.97344,3.50315,-0.250404,1.40232,3.19871
108,1021641178,0,14.4276,-2.52454,0.851849,-14.179,4.61257,-2.11543,-0.873378,-4.00335
